Entity,Code_temp,Year,Temperature anomaly,Code_forest,Annual net change in forest area,country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Australia,AUS,1990,0.07401252,AUS,-206810.0000000001,Australia,1990,AUS,17126301.0,464136601600.0,3.463,0.202,278.16,21.324,8.302,259.54,42.232,19.434,15.154,0.559,0.247,16.242,0.599,0.265,141.877,8.284,243.259,14.204,0.524,90.173,7469.591,17624.604,4606.968,9.797,374.299,10155.805,2386.038,2.316,61654.105,2.265,7.273,0.425,34.455,2.012,19.425,31.08,-18.62,-1.087,158.576,9.259,73.174,4.273,88.777,5.184,0.135,2.316,1051.079,0.7,1.224,0.937,1.63,0.734,0.923,1.209,1.052,0.12,0.473,1.556,0.886,0.124,2.81,0.905,-0.374,0.96,1.038,1.677,0.007,0.008,0.016,0.002,532.292,332.675,-34.901,-12.547
Australia,AUS,2000,-0.87973803,AUS,-226799.99999999997,Australia,2000,AUS,19132473.0,692059308032.0,3.621,0.189,350.008,6.048,1.758,553.516,59.534,12.052,28.931,0.8,0.424,18.294,0.506,0.268,185.797,9.711,290.874,15.203,0.42,123.171,10581.663,21850.322,6235.02,80.651,770.155,11269.455,3339.95,32.716,68632.961,1.886,7.953,0.416,46.61,2.436,21.418,38.94,203.508,10.637,179.324,9.373,94.066,4.917,102.65,5.365,0.177,3.378,1305.259,0.5,1.372,1.797,2.019,0.667,1.01,1.247,1.186,0.715,0.632,1.587,0.913,0.808,2.291,0.981,3.842,0.999,1.561,1.631,0.007,0.009,0.019,0.002,745.01,409.771,-59.134,-16.895
Australia,AUS,2010,-0.41536865,AUS,709680.0000000002,Australia,2010,AUS,22141583.0,993854029824.0,3.549,0.16,405.131,-1.963,-0.482,929.393,416.402,81.172,41.975,0.935,0.616,18.297,0.408,0.269,200.552,9.058,394.843,17.833,0.397,160.102,14449.848,27364.854,8233.841,155.96,1333.131,12915.801,4495.034,71.779,68523.875,1.518,8.194,0.37,64.246,2.902,21.601,38.727,524.261,23.678,137.338,6.203,53.678,2.424,124.551,5.625,0.182,4.039,1508.839,0.281,1.215,2.393,1.437,0.561,1.075,1.302,1.281,1.062,0.755,1.695,0.946,1.115,2.401,1.032,9.553,1.1,1.641,1.6,0.007,0.012,0.022,0.003,857.474,478.29,-10.288,-2.54
Brazil,BRA,1990,-0.35070658,BRA,-3780940.0,Brazil,1990,BRA,149143224.0,1185475198976.0,11.062,0.074,218.658,6.587,3.106,1684.104,40.549,2.467,11.292,1.421,1.075,1.466,0.184,0.14,37.095,0.249,245.327,1.645,0.207,247.094,4712.566,75589.469,871.377,51.672,62.587,71111.055,3476.148,3.688,10391.007,1.321,7.554,0.051,7.484,0.05,2.404,12.406,1465.446,9.826,391.925,2.628,100.629,0.675,151.775,1.018,0.025,3.688,1565.992,2.238,0.962,6.079,0.426,2.012,0.583,5.187,0.199,0.632,0.079,10.892,1.291,0.198,2.919,0.197,29.447,1.642,1.653,4.364,0.013,0.028,0.043,0.001,1850.279,358.497,26.669,12.197
Brazil,BRA,2000,-0.5304143,BRA,-3950790.0,Brazil,2000,BRA,174018276.0,1739727962112.0,16.047,0.092,340.183,12.927,3.95,2193.676,-186.066,-7.819,12.606,1.261,0.931,1.955,0.196,0.144,50.46,0.29,350.307,2.013,0.201,378.23,7523.605,95880.805,1323.006,136.32,172.618,88591.359,5467.51,45.921,13400.32,1.355,10.737,0.062,18.442,0.106,2.996,14.988,1853.493,10.651,451.66,2.595,123.531,0.71,239.488,1.376,0.029,5.008,2356.764,2.216,1.333,7.121,0.548,2.049,0.718,5.47,0.252,1.208,0.142,12.473,1.495,1.134,3.094,0.388,34.99,2.332,2.315,4.78,0.017,0.037,0.055,0.002,2608.235,521.399,10.124,2.976
Brazil,BRA,2010,0.33499083,BRA,-1539179.9999999995,Brazil,2010,BRA,193701931.0,2820492492800.0,21.288,0.11,440.269,50.494,12.955,1443.259,-76.739,-5.049,7.451,0.512,0.453,2.273,0.156,0.138,56.688,0.293,484.791,2.503,0.172,540.408,11290.112,116928.734,1839.253,269.381,566.458,105872.773,7975.223,99.389,16220.931,1.129,15.214,0.079,55.049,0.284,3.345,12.153,1002.99,5.178,552.001,2.85,162.681,0.84,286.08,1.477,0.031,5.95,3185.037,1.685,1.32,3.716,0.406,1.895,0.84,5.563,0.286,1.835,0.321,13.893,1.679,1.544,4.458,0.884,18.276,2.526,2.417,5.076,0.02,0.046,0.069,0.003,2354.155,647.911,44.522,10.112
Brazil,BRA,2015,0.6851983,BRA,-1453040.0,Brazil,2015,BRA,201675534.0,3021043138560.0,25.082,0.124,529.353,-28.548,-5.117,1778.048,-11.244,-0.628,8.816,0.589,0.506,2.625,0.175,0.151,69.452,0.344,548.048,2.717,0.181,666.893,13870.673,125351.68,2166.651,350.142,919.409,111715.164,9636.293,131.285,17140.15,1.164,17.604,0.087,80.465,0.399,3.734,12.195,1248.695,6.192,570.865,2.831,165.859,0.822,330.359,1.638,0.032,6.392,3516.957,1.728,1.495,4.343,0.474,1.869,0.913,5.44,0.302,2.113,0.439,14.158,1.808,1.663,4.584,1.189,22.574,2.792,2.105,5.071,0.022,0.05,0.075,0.003,2459.342,753.095,18.695,3.532
Canada,CAN,1990,-1.2687925,CAN,-47100.0,Canada,1990,CAN,27789436.0,835996811264.0,5.823,0.21,458.015,-4.87,-1.052,718.491,15.821,2.252,25.855,0.859,0.239,16.482,0.548,0.152,99.005,3.563,482.822,17.374,0.578,173.276,17166.182,52067.605,6709.477,147.0,2701.608,34901.793,7431.682,3.14,108781.125,3.599,11.835,0.426,125.716,4.524,19.749,28.507,260.476,9.373,96.321,3.466,44.925,1.617,212.496,7.647,0.113,3.14,3008.582,1.178,2.015,2.593,1.138,1.411,2.122,3.573,1.531,1.797,3.415,5.346,2.759,0.169,4.573,3.303,5.234,2.299,1.408,2.421,0.004,0.019,0.024,0.001,792.186,548.821,24.807,5.416
Canada,CAN,2000,-0.34686947,CAN,-47980.0,Canada,2000,CAN,30891800.0,1137681367040.0,7.232,0.234,566.261,22.396,4.118,787.446,2.17,0.276,25.49,0.692,0.216,18.33,0.498,0.155,128.952,4.174,580.569,18.794,0.51,234.064,22183.152,59322.719,7812.642,296.372,4182.17,37139.938,9622.259,35.645,118875.336,3.206,16.037,0.519,173.423,5.614,21.666,29.017,221.185,7.16,120.093,3.888,39.309,1.272,237.231,7.679,0.11,3.385,3647.49,0.999,2.22,2.556,1.401,1.268,2.118,3.384,1.486,2.626,3.432,5.229,2.631,0.88,4.62,3.651,4.175,2.31,1.565,2.382,0.004,0.022,0.028,0.001,896.376,669.292,14.308,2.527
Canada,CAN,2010,2.0105917,CAN,-41300.0,Canada,2010,CAN,34196901.0,1406355374080.0,6.005,0.176,554.734,11.924,2.197,640.357,-13.369,-2.045,18.726,0.455,0.171,16.222,0.394,0.148,95.844,2.803,606.123,17.724,0.431,304.395,27871.428,66874.516,8953.07,449.546,5916.048,39003.461,12184.783,63.587,110485.93,2.668,14.451,0.423,178.268,5.213,19.109,23.06,85.622,2.504,117.227,3.428,39.16,1.145,257.905,7.542,0.066,2.261,3752.479,0.475,1.663,1.649,0.687,1.067,2.073,3.182,1.393,3.062,3.349,5.118,2.565,0.988,4.235,2.862,1.56,2.278,0.919,2.333,0.005,0.025,0.032,0.001,788.575,653.466,51.388,9.264
Canada,CAN,2015,0.18931626,CAN,-37520.0,Canada,2015,CAN,35962236.0,1568025739264.0,6.185,0.172,565.644,-0.825,-0.146,708.503,-22.154,-3.032,19.701,0.452,0.176,15.729,0.361,0.141,73.719,2.05,537.848,14.956,0.343,335.016,30699.936,70377.352,9351.379,528.296,6936.564,39677.785,13472.803,75.878,112484.586,2.563,15.766,0.438,213.612,5.94,18.751,23.85,142.859,3.972,125.83,3.499,42.385,1.179,254.034,7.064,0.065,2.328,4019.313,0.426,1.598,1.731,0.503,0.939,2.02,3.054,1.304,3.188,3.309,5.029,2.528,0.961,4.106,3.157,2.583,2.147,0.767,2.273,0.005,0.027,0.034,0.001,857.683,674.335,-27.796,-4.914
